class,line,hits
org.apache.commons.lang3.BitField,37,24
org.apache.commons.lang3.BitField,38,24
org.apache.commons.lang3.BitField,39,24
org.apache.commons.lang3.BitField,40,24
org.apache.commons.lang3.BitField,42,24
org.apache.commons.lang3.BitField,43,131
org.apache.commons.lang3.BitField,44,89
org.apache.commons.lang3.BitField,45,89
org.apache.commons.lang3.BitField,48,24
org.apache.commons.lang3.BitField,49,24
org.apache.commons.lang3.BitField,179,11
org.apache.commons.lang3.BitField,204,11
org.apache.commons.lang3.BitField,123,1
org.apache.commons.lang3.BitField,216,9
org.apache.commons.lang3.BitField,241,9
org.apache.commons.lang3.BitField,280,20
