class,line,hits
org.apache.commons.lang3.CharRange,68,6
org.apache.commons.lang3.CharRange,69,6
org.apache.commons.lang3.CharRange,75,6
org.apache.commons.lang3.CharRange,76,6
org.apache.commons.lang3.CharRange,77,6
org.apache.commons.lang3.CharRange,78,6
org.apache.commons.lang3.CharRange,209,13
org.apache.commons.lang3.CharRange,210,3
org.apache.commons.lang3.CharRange,212,10
org.apache.commons.lang3.CharRange,213,1
org.apache.commons.lang3.CharRange,215,9
org.apache.commons.lang3.CharRange,216,9
org.apache.commons.lang3.CharRange,89,2
org.apache.commons.lang3.CharRange,114,4
