class,line,hits
org.apache.commons.lang3.time.DateUtils,75,2
org.apache.commons.lang3.time.DateUtils,76,1
org.apache.commons.lang3.time.DateUtils,77,1
org.apache.commons.lang3.time.DateUtils,78,1
org.apache.commons.lang3.time.DateUtils,79,1
org.apache.commons.lang3.time.DateUtils,80,1
org.apache.commons.lang3.time.DateUtils,83,1
org.apache.commons.lang3.time.DateUtils,84,1
org.apache.commons.lang3.time.DateUtils,85,1
org.apache.commons.lang3.time.DateUtils,126,1
org.apache.commons.lang3.time.DateUtils,957,49
org.apache.commons.lang3.time.DateUtils,958,2
org.apache.commons.lang3.time.DateUtils,961,47
org.apache.commons.lang3.time.DateUtils,971,47
org.apache.commons.lang3.time.DateUtils,972,47
org.apache.commons.lang3.time.DateUtils,973,47
org.apache.commons.lang3.time.DateUtils,976,47
org.apache.commons.lang3.time.DateUtils,977,47
org.apache.commons.lang3.time.DateUtils,978,47
org.apache.commons.lang3.time.DateUtils,980,47
org.apache.commons.lang3.time.DateUtils,981,6
org.apache.commons.lang3.time.DateUtils,985,47
org.apache.commons.lang3.time.DateUtils,986,47
org.apache.commons.lang3.time.DateUtils,987,41
org.apache.commons.lang3.time.DateUtils,989,47
org.apache.commons.lang3.time.DateUtils,990,4
org.apache.commons.lang3.time.DateUtils,994,47
org.apache.commons.lang3.time.DateUtils,995,47
org.apache.commons.lang3.time.DateUtils,996,37
org.apache.commons.lang3.time.DateUtils,1000,47
org.apache.commons.lang3.time.DateUtils,1001,47
org.apache.commons.lang3.time.DateUtils,1002,47
org.apache.commons.lang3.time.DateUtils,1006,47
org.apache.commons.lang3.time.DateUtils,1007,221
org.apache.commons.lang3.time.DateUtils,1008,488
org.apache.commons.lang3.time.DateUtils,1009,314
org.apache.commons.lang3.time.DateUtils,1011,47
org.apache.commons.lang3.time.DateUtils,1040,47
org.apache.commons.lang3.time.DateUtils,1044,174
org.apache.commons.lang3.time.DateUtils,1045,174
org.apache.commons.lang3.time.DateUtils,1047,174
org.apache.commons.lang3.time.DateUtils,1049,20
org.apache.commons.lang3.time.DateUtils,1053,4
org.apache.commons.lang3.time.DateUtils,1056,4
org.apache.commons.lang3.time.DateUtils,1057,2
org.apache.commons.lang3.time.DateUtils,1060,4
org.apache.commons.lang3.time.DateUtils,1061,4
org.apache.commons.lang3.time.DateUtils,1063,4
org.apache.commons.lang3.time.DateUtils,1065,48
org.apache.commons.lang3.time.DateUtils,1068,12
org.apache.commons.lang3.time.DateUtils,1069,12
org.apache.commons.lang3.time.DateUtils,1070,6
org.apache.commons.lang3.time.DateUtils,1072,12
org.apache.commons.lang3.time.DateUtils,1073,12
org.apache.commons.lang3.time.DateUtils,1077,174
org.apache.commons.lang3.time.DateUtils,1078,158
org.apache.commons.lang3.time.DateUtils,1079,158
org.apache.commons.lang3.time.DateUtils,1081,158
org.apache.commons.lang3.time.DateUtils,1083,158
org.apache.commons.lang3.time.DateUtils,1086,174
org.apache.commons.lang3.time.DateUtils,1087,49
org.apache.commons.lang3.time.DateUtils,853,28
org.apache.commons.lang3.time.DateUtils,854,1
org.apache.commons.lang3.time.DateUtils,856,27
org.apache.commons.lang3.time.DateUtils,857,18
org.apache.commons.lang3.time.DateUtils,858,9
org.apache.commons.lang3.time.DateUtils,859,8
org.apache.commons.lang3.time.DateUtils,861,1
org.apache.commons.lang3.time.DateUtils,828,12
org.apache.commons.lang3.time.DateUtils,829,1
org.apache.commons.lang3.time.DateUtils,831,11
org.apache.commons.lang3.time.DateUtils,832,11
org.apache.commons.lang3.time.DateUtils,833,9
org.apache.commons.lang3.time.DateUtils,803,39
org.apache.commons.lang3.time.DateUtils,804,1
org.apache.commons.lang3.time.DateUtils,806,38
org.apache.commons.lang3.time.DateUtils,807,38
org.apache.commons.lang3.time.DateUtils,808,38
org.apache.commons.lang3.time.DateUtils,809,38
