class,line,hits
org.apache.commons.lang3.builder.EqualsBuilder,92,1
org.apache.commons.lang3.builder.EqualsBuilder,214,3
org.apache.commons.lang3.builder.EqualsBuilder,222,3
org.apache.commons.lang3.builder.EqualsBuilder,224,3
org.apache.commons.lang3.builder.EqualsBuilder,563,8
org.apache.commons.lang3.builder.EqualsBuilder,566,8
org.apache.commons.lang3.builder.EqualsBuilder,567,8
org.apache.commons.lang3.builder.EqualsBuilder,448,4
org.apache.commons.lang3.builder.EqualsBuilder,451,4
org.apache.commons.lang3.builder.EqualsBuilder,454,4
org.apache.commons.lang3.builder.EqualsBuilder,458,4
org.apache.commons.lang3.builder.EqualsBuilder,459,4
org.apache.commons.lang3.builder.EqualsBuilder,468,4
org.apache.commons.lang3.builder.EqualsBuilder,477,4
org.apache.commons.lang3.builder.EqualsBuilder,478,4
org.apache.commons.lang3.builder.EqualsBuilder,488,4
org.apache.commons.lang3.builder.EqualsBuilder,791,4
org.apache.commons.lang3.builder.EqualsBuilder,794,4
org.apache.commons.lang3.builder.EqualsBuilder,797,4
org.apache.commons.lang3.builder.EqualsBuilder,801,4
org.apache.commons.lang3.builder.EqualsBuilder,805,12
org.apache.commons.lang3.builder.EqualsBuilder,806,8
org.apache.commons.lang3.builder.EqualsBuilder,808,4
org.apache.commons.lang3.builder.EqualsBuilder,636,3
org.apache.commons.lang3.builder.EqualsBuilder,639,3
org.apache.commons.lang3.builder.EqualsBuilder,640,1
org.apache.commons.lang3.builder.EqualsBuilder,642,2
org.apache.commons.lang3.builder.EqualsBuilder,646,2
org.apache.commons.lang3.builder.EqualsBuilder,650,6
org.apache.commons.lang3.builder.EqualsBuilder,651,4
org.apache.commons.lang3.builder.EqualsBuilder,653,2
org.apache.commons.lang3.builder.EqualsBuilder,911,3
