class,line,hits
org.apache.commons.lang3.math.Fraction,47,1
org.apache.commons.lang3.math.Fraction,51,1
org.apache.commons.lang3.math.Fraction,55,1
org.apache.commons.lang3.math.Fraction,59,1
org.apache.commons.lang3.math.Fraction,63,1
org.apache.commons.lang3.math.Fraction,67,1
org.apache.commons.lang3.math.Fraction,71,1
org.apache.commons.lang3.math.Fraction,75,1
org.apache.commons.lang3.math.Fraction,79,1
org.apache.commons.lang3.math.Fraction,83,1
org.apache.commons.lang3.math.Fraction,87,1
org.apache.commons.lang3.math.Fraction,91,1
org.apache.commons.lang3.math.Fraction,106,18
org.apache.commons.lang3.math.Fraction,110,18
org.apache.commons.lang3.math.Fraction,114,18
org.apache.commons.lang3.math.Fraction,124,18
org.apache.commons.lang3.math.Fraction,125,18
org.apache.commons.lang3.math.Fraction,126,18
org.apache.commons.lang3.math.Fraction,127,18
org.apache.commons.lang3.math.Fraction,377,6
org.apache.commons.lang3.math.Fraction,173,6
org.apache.commons.lang3.math.Fraction,176,6
org.apache.commons.lang3.math.Fraction,179,6
org.apache.commons.lang3.math.Fraction,183,6
org.apache.commons.lang3.math.Fraction,184,2
org.apache.commons.lang3.math.Fraction,185,2
org.apache.commons.lang3.math.Fraction,186,4
org.apache.commons.lang3.math.Fraction,188,6
org.apache.commons.lang3.math.Fraction,189,6
org.apache.commons.lang3.math.Fraction,192,6
org.apache.commons.lang3.math.Fraction,320,12
org.apache.commons.lang3.math.Fraction,324,12
org.apache.commons.lang3.math.Fraction,325,12
org.apache.commons.lang3.math.Fraction,330,12
org.apache.commons.lang3.math.Fraction,331,12
org.apache.commons.lang3.math.Fraction,332,10
org.apache.commons.lang3.math.Fraction,333,9
org.apache.commons.lang3.math.Fraction,334,9
org.apache.commons.lang3.math.Fraction,335,9
org.apache.commons.lang3.math.Fraction,336,2
org.apache.commons.lang3.math.Fraction,338,7
org.apache.commons.lang3.math.Fraction,339,6
org.apache.commons.lang3.math.Fraction,340,6
org.apache.commons.lang3.math.Fraction,345,2
org.apache.commons.lang3.math.Fraction,346,2
org.apache.commons.lang3.math.Fraction,348,2
org.apache.commons.lang3.math.Fraction,368,6
