class,line,hits
org.apache.commons.lang3.math.Fraction,47,1
org.apache.commons.lang3.math.Fraction,51,1
org.apache.commons.lang3.math.Fraction,55,1
org.apache.commons.lang3.math.Fraction,59,1
org.apache.commons.lang3.math.Fraction,63,1
org.apache.commons.lang3.math.Fraction,67,1
org.apache.commons.lang3.math.Fraction,71,1
org.apache.commons.lang3.math.Fraction,75,1
org.apache.commons.lang3.math.Fraction,79,1
org.apache.commons.lang3.math.Fraction,83,1
org.apache.commons.lang3.math.Fraction,87,1
org.apache.commons.lang3.math.Fraction,91,1
org.apache.commons.lang3.math.Fraction,106,199153
org.apache.commons.lang3.math.Fraction,110,199153
org.apache.commons.lang3.math.Fraction,114,199153
org.apache.commons.lang3.math.Fraction,124,199153
org.apache.commons.lang3.math.Fraction,125,199153
org.apache.commons.lang3.math.Fraction,126,199153
org.apache.commons.lang3.math.Fraction,127,199153
org.apache.commons.lang3.math.Fraction,377,199143
org.apache.commons.lang3.math.Fraction,250,99579
org.apache.commons.lang3.math.Fraction,251,99579
org.apache.commons.lang3.math.Fraction,252,99579
org.apache.commons.lang3.math.Fraction,253,8
org.apache.commons.lang3.math.Fraction,254,4
org.apache.commons.lang3.math.Fraction,256,99575
org.apache.commons.lang3.math.Fraction,257,99575
org.apache.commons.lang3.math.Fraction,259,99575
org.apache.commons.lang3.math.Fraction,260,99575
org.apache.commons.lang3.math.Fraction,261,99575
org.apache.commons.lang3.math.Fraction,262,99575
org.apache.commons.lang3.math.Fraction,263,99575
org.apache.commons.lang3.math.Fraction,264,99575
org.apache.commons.lang3.math.Fraction,265,99575
org.apache.commons.lang3.math.Fraction,266,99575
org.apache.commons.lang3.math.Fraction,267,99575
org.apache.commons.lang3.math.Fraction,268,99575
org.apache.commons.lang3.math.Fraction,269,99575
org.apache.commons.lang3.math.Fraction,270,99575
org.apache.commons.lang3.math.Fraction,271,99575
org.apache.commons.lang3.math.Fraction,273,99575
org.apache.commons.lang3.math.Fraction,275,882856
org.apache.commons.lang3.math.Fraction,276,982431
org.apache.commons.lang3.math.Fraction,277,982431
org.apache.commons.lang3.math.Fraction,278,982431
org.apache.commons.lang3.math.Fraction,279,982431
org.apache.commons.lang3.math.Fraction,280,982431
org.apache.commons.lang3.math.Fraction,281,982431
org.apache.commons.lang3.math.Fraction,282,982431
org.apache.commons.lang3.math.Fraction,283,982431
org.apache.commons.lang3.math.Fraction,285,982431
org.apache.commons.lang3.math.Fraction,286,982431
org.apache.commons.lang3.math.Fraction,287,982431
org.apache.commons.lang3.math.Fraction,288,982431
org.apache.commons.lang3.math.Fraction,289,982431
org.apache.commons.lang3.math.Fraction,290,982431
org.apache.commons.lang3.math.Fraction,291,982431
org.apache.commons.lang3.math.Fraction,292,982431
org.apache.commons.lang3.math.Fraction,294,982431
org.apache.commons.lang3.math.Fraction,295,99575
org.apache.commons.lang3.math.Fraction,298,99575
org.apache.commons.lang3.math.Fraction,368,199143
org.apache.commons.lang3.math.Fraction,210,199143
org.apache.commons.lang3.math.Fraction,213,199143
org.apache.commons.lang3.math.Fraction,214,2
org.apache.commons.lang3.math.Fraction,217,199141
org.apache.commons.lang3.math.Fraction,220,199141
org.apache.commons.lang3.math.Fraction,229,199141
org.apache.commons.lang3.math.Fraction,230,199141
org.apache.commons.lang3.math.Fraction,231,199141
org.apache.commons.lang3.math.Fraction,232,199141
org.apache.commons.lang3.math.Fraction,578,199141
org.apache.commons.lang3.math.Fraction,585,199141
org.apache.commons.lang3.math.Fraction,586,684
org.apache.commons.lang3.math.Fraction,592,198457
org.apache.commons.lang3.math.Fraction,593,198457
org.apache.commons.lang3.math.Fraction,595,198457
org.apache.commons.lang3.math.Fraction,596,398620
org.apache.commons.lang3.math.Fraction,597,1706
org.apache.commons.lang3.math.Fraction,599,198457
org.apache.commons.lang3.math.Fraction,604,198457
org.apache.commons.lang3.math.Fraction,610,3501658
org.apache.commons.lang3.math.Fraction,611,1498389
org.apache.commons.lang3.math.Fraction,614,1804812
org.apache.commons.lang3.math.Fraction,615,821586
org.apache.commons.lang3.math.Fraction,616,821586
org.apache.commons.lang3.math.Fraction,617,983226
org.apache.commons.lang3.math.Fraction,620,1804812
org.apache.commons.lang3.math.Fraction,623,1804812
org.apache.commons.lang3.math.Fraction,624,198457
