class,line,hits
org.apache.commons.lang3.math.Fraction,47,1
org.apache.commons.lang3.math.Fraction,51,1
org.apache.commons.lang3.math.Fraction,55,1
org.apache.commons.lang3.math.Fraction,59,1
org.apache.commons.lang3.math.Fraction,63,1
org.apache.commons.lang3.math.Fraction,67,1
org.apache.commons.lang3.math.Fraction,71,1
org.apache.commons.lang3.math.Fraction,75,1
org.apache.commons.lang3.math.Fraction,79,1
org.apache.commons.lang3.math.Fraction,83,1
org.apache.commons.lang3.math.Fraction,87,1
org.apache.commons.lang3.math.Fraction,91,1
org.apache.commons.lang3.math.Fraction,106,21
org.apache.commons.lang3.math.Fraction,110,21
org.apache.commons.lang3.math.Fraction,114,21
org.apache.commons.lang3.math.Fraction,124,21
org.apache.commons.lang3.math.Fraction,125,21
org.apache.commons.lang3.math.Fraction,126,21
org.apache.commons.lang3.math.Fraction,127,21
org.apache.commons.lang3.math.Fraction,377,9
org.apache.commons.lang3.math.Fraction,142,14
org.apache.commons.lang3.math.Fraction,143,3
org.apache.commons.lang3.math.Fraction,145,11
org.apache.commons.lang3.math.Fraction,146,4
org.apache.commons.lang3.math.Fraction,147,4
org.apache.commons.lang3.math.Fraction,148,2
org.apache.commons.lang3.math.Fraction,150,2
org.apache.commons.lang3.math.Fraction,151,2
org.apache.commons.lang3.math.Fraction,153,9
org.apache.commons.lang3.math.Fraction,368,9
