class,line,hits
org.apache.commons.lang3.math.Fraction,47,1
org.apache.commons.lang3.math.Fraction,51,1
org.apache.commons.lang3.math.Fraction,55,1
org.apache.commons.lang3.math.Fraction,59,1
org.apache.commons.lang3.math.Fraction,63,1
org.apache.commons.lang3.math.Fraction,67,1
org.apache.commons.lang3.math.Fraction,71,1
org.apache.commons.lang3.math.Fraction,75,1
org.apache.commons.lang3.math.Fraction,79,1
org.apache.commons.lang3.math.Fraction,83,1
org.apache.commons.lang3.math.Fraction,87,1
org.apache.commons.lang3.math.Fraction,91,1
org.apache.commons.lang3.math.Fraction,106,34
org.apache.commons.lang3.math.Fraction,110,34
org.apache.commons.lang3.math.Fraction,114,34
org.apache.commons.lang3.math.Fraction,124,34
org.apache.commons.lang3.math.Fraction,125,34
org.apache.commons.lang3.math.Fraction,126,34
org.apache.commons.lang3.math.Fraction,127,34
org.apache.commons.lang3.math.Fraction,377,7
org.apache.commons.lang3.math.Fraction,142,15
org.apache.commons.lang3.math.Fraction,145,15
org.apache.commons.lang3.math.Fraction,146,1
org.apache.commons.lang3.math.Fraction,147,1
org.apache.commons.lang3.math.Fraction,150,1
org.apache.commons.lang3.math.Fraction,151,1
org.apache.commons.lang3.math.Fraction,153,15
org.apache.commons.lang3.math.Fraction,368,7
org.apache.commons.lang3.math.Fraction,210,7
org.apache.commons.lang3.math.Fraction,213,7
org.apache.commons.lang3.math.Fraction,217,7
org.apache.commons.lang3.math.Fraction,220,7
org.apache.commons.lang3.math.Fraction,229,7
org.apache.commons.lang3.math.Fraction,230,7
org.apache.commons.lang3.math.Fraction,231,7
org.apache.commons.lang3.math.Fraction,232,7
org.apache.commons.lang3.math.Fraction,578,25
org.apache.commons.lang3.math.Fraction,585,25
org.apache.commons.lang3.math.Fraction,586,8
org.apache.commons.lang3.math.Fraction,592,17
org.apache.commons.lang3.math.Fraction,593,17
org.apache.commons.lang3.math.Fraction,595,17
org.apache.commons.lang3.math.Fraction,596,37
org.apache.commons.lang3.math.Fraction,597,3
org.apache.commons.lang3.math.Fraction,599,17
org.apache.commons.lang3.math.Fraction,604,17
org.apache.commons.lang3.math.Fraction,610,93
org.apache.commons.lang3.math.Fraction,611,23
org.apache.commons.lang3.math.Fraction,614,53
org.apache.commons.lang3.math.Fraction,615,20
org.apache.commons.lang3.math.Fraction,616,20
org.apache.commons.lang3.math.Fraction,617,33
org.apache.commons.lang3.math.Fraction,620,53
org.apache.commons.lang3.math.Fraction,623,53
org.apache.commons.lang3.math.Fraction,624,17
org.apache.commons.lang3.math.Fraction,640,9
org.apache.commons.lang3.math.Fraction,641,9
org.apache.commons.lang3.math.Fraction,642,9
org.apache.commons.lang3.math.Fraction,645,9
org.apache.commons.lang3.math.Fraction,659,9
org.apache.commons.lang3.math.Fraction,660,9
org.apache.commons.lang3.math.Fraction,661,2
org.apache.commons.lang3.math.Fraction,663,7
org.apache.commons.lang3.math.Fraction,797,11
org.apache.commons.lang3.math.Fraction,798,1
org.apache.commons.lang3.math.Fraction,800,10
org.apache.commons.lang3.math.Fraction,801,1
org.apache.commons.lang3.math.Fraction,805,9
org.apache.commons.lang3.math.Fraction,806,9
org.apache.commons.lang3.math.Fraction,807,7
org.apache.commons.lang3.math.Fraction,808,9
org.apache.commons.lang3.math.Fraction,809,9
