class,line,hits
org.apache.commons.lang3.math.Fraction,47,1
org.apache.commons.lang3.math.Fraction,51,1
org.apache.commons.lang3.math.Fraction,55,1
org.apache.commons.lang3.math.Fraction,59,1
org.apache.commons.lang3.math.Fraction,63,1
org.apache.commons.lang3.math.Fraction,67,1
org.apache.commons.lang3.math.Fraction,71,1
org.apache.commons.lang3.math.Fraction,75,1
org.apache.commons.lang3.math.Fraction,79,1
org.apache.commons.lang3.math.Fraction,83,1
org.apache.commons.lang3.math.Fraction,87,1
org.apache.commons.lang3.math.Fraction,91,1
org.apache.commons.lang3.math.Fraction,106,24
org.apache.commons.lang3.math.Fraction,110,24
org.apache.commons.lang3.math.Fraction,114,24
org.apache.commons.lang3.math.Fraction,124,24
org.apache.commons.lang3.math.Fraction,125,24
org.apache.commons.lang3.math.Fraction,126,24
org.apache.commons.lang3.math.Fraction,127,24
org.apache.commons.lang3.math.Fraction,377,14
org.apache.commons.lang3.math.Fraction,368,14
org.apache.commons.lang3.math.Fraction,210,18
org.apache.commons.lang3.math.Fraction,211,3
org.apache.commons.lang3.math.Fraction,213,15
org.apache.commons.lang3.math.Fraction,214,2
org.apache.commons.lang3.math.Fraction,217,13
org.apache.commons.lang3.math.Fraction,218,1
org.apache.commons.lang3.math.Fraction,220,13
org.apache.commons.lang3.math.Fraction,221,4
org.apache.commons.lang3.math.Fraction,222,4
org.apache.commons.lang3.math.Fraction,223,1
org.apache.commons.lang3.math.Fraction,225,3
org.apache.commons.lang3.math.Fraction,226,3
org.apache.commons.lang3.math.Fraction,229,12
org.apache.commons.lang3.math.Fraction,230,12
org.apache.commons.lang3.math.Fraction,231,12
org.apache.commons.lang3.math.Fraction,232,12
org.apache.commons.lang3.math.Fraction,578,12
org.apache.commons.lang3.math.Fraction,585,12
org.apache.commons.lang3.math.Fraction,586,3
org.apache.commons.lang3.math.Fraction,592,9
org.apache.commons.lang3.math.Fraction,593,9
org.apache.commons.lang3.math.Fraction,595,9
org.apache.commons.lang3.math.Fraction,596,24
org.apache.commons.lang3.math.Fraction,597,6
org.apache.commons.lang3.math.Fraction,599,9
org.apache.commons.lang3.math.Fraction,604,9
org.apache.commons.lang3.math.Fraction,610,64
org.apache.commons.lang3.math.Fraction,611,34
org.apache.commons.lang3.math.Fraction,614,21
org.apache.commons.lang3.math.Fraction,615,9
org.apache.commons.lang3.math.Fraction,616,9
org.apache.commons.lang3.math.Fraction,617,12
org.apache.commons.lang3.math.Fraction,620,21
org.apache.commons.lang3.math.Fraction,623,21
org.apache.commons.lang3.math.Fraction,624,9
