class,line,hits
org.apache.commons.lang3.tuple.ImmutableTriple,73,6
org.apache.commons.lang3.tuple.ImmutableTriple,74,6
org.apache.commons.lang3.tuple.ImmutableTriple,75,6
org.apache.commons.lang3.tuple.ImmutableTriple,76,6
org.apache.commons.lang3.tuple.ImmutableTriple,77,6
org.apache.commons.lang3.tuple.ImmutableTriple,85,6
org.apache.commons.lang3.tuple.ImmutableTriple,93,6
org.apache.commons.lang3.tuple.ImmutableTriple,101,6
org.apache.commons.lang3.tuple.ImmutableTriple,62,6
org.apache.commons.lang3.tuple.MutableTriple,75,1
org.apache.commons.lang3.tuple.MutableTriple,76,1
org.apache.commons.lang3.tuple.MutableTriple,77,1
org.apache.commons.lang3.tuple.MutableTriple,78,1
org.apache.commons.lang3.tuple.MutableTriple,79,1
org.apache.commons.lang3.tuple.MutableTriple,87,1
org.apache.commons.lang3.tuple.MutableTriple,104,1
org.apache.commons.lang3.tuple.MutableTriple,121,1
org.apache.commons.lang3.tuple.MutableTriple,57,1
org.apache.commons.lang3.tuple.Triple,40,7
org.apache.commons.lang3.tuple.Triple,140,14
org.apache.commons.lang3.tuple.Triple,141,7
