class,line,hits
org.apache.commons.lang3.mutable.MutableDouble,44,1
org.apache.commons.lang3.mutable.MutableDouble,45,1
org.apache.commons.lang3.mutable.MutableDouble,53,2
org.apache.commons.lang3.mutable.MutableDouble,54,2
org.apache.commons.lang3.mutable.MutableDouble,55,2
org.apache.commons.lang3.mutable.MutableDouble,64,2
org.apache.commons.lang3.mutable.MutableDouble,65,2
org.apache.commons.lang3.mutable.MutableDouble,66,2
org.apache.commons.lang3.mutable.MutableDouble,76,1
org.apache.commons.lang3.mutable.MutableDouble,77,1
org.apache.commons.lang3.mutable.MutableDouble,78,1
org.apache.commons.lang3.mutable.MutableDouble,231,6
