class,line,hits
org.apache.commons.lang3.mutable.MutableFloat,44,1
org.apache.commons.lang3.mutable.MutableFloat,45,1
org.apache.commons.lang3.mutable.MutableFloat,53,2
org.apache.commons.lang3.mutable.MutableFloat,54,2
org.apache.commons.lang3.mutable.MutableFloat,55,2
org.apache.commons.lang3.mutable.MutableFloat,64,2
org.apache.commons.lang3.mutable.MutableFloat,65,2
org.apache.commons.lang3.mutable.MutableFloat,66,2
org.apache.commons.lang3.mutable.MutableFloat,76,1
org.apache.commons.lang3.mutable.MutableFloat,77,1
org.apache.commons.lang3.mutable.MutableFloat,78,1
org.apache.commons.lang3.mutable.MutableFloat,221,6
