class,line,hits
org.apache.commons.lang3.mutable.MutableFloat,44,2
org.apache.commons.lang3.mutable.MutableFloat,45,2
org.apache.commons.lang3.mutable.MutableFloat,53,2
org.apache.commons.lang3.mutable.MutableFloat,54,2
org.apache.commons.lang3.mutable.MutableFloat,55,2
org.apache.commons.lang3.mutable.MutableFloat,221,5
org.apache.commons.lang3.mutable.MutableFloat,88,4
org.apache.commons.lang3.mutable.MutableFloat,97,1
org.apache.commons.lang3.mutable.MutableFloat,98,1
org.apache.commons.lang3.mutable.MutableFloat,108,2
org.apache.commons.lang3.mutable.MutableFloat,109,2
