class,line,hits
org.apache.commons.lang3.mutable.MutableInt,44,1
org.apache.commons.lang3.mutable.MutableInt,45,1
org.apache.commons.lang3.mutable.MutableInt,53,1
org.apache.commons.lang3.mutable.MutableInt,54,1
org.apache.commons.lang3.mutable.MutableInt,55,1
org.apache.commons.lang3.mutable.MutableInt,64,2
org.apache.commons.lang3.mutable.MutableInt,65,2
org.apache.commons.lang3.mutable.MutableInt,66,2
org.apache.commons.lang3.mutable.MutableInt,76,1
org.apache.commons.lang3.mutable.MutableInt,77,1
org.apache.commons.lang3.mutable.MutableInt,78,1
org.apache.commons.lang3.mutable.MutableInt,182,5
org.apache.commons.lang3.mutable.MutableLong,53,1
org.apache.commons.lang3.mutable.MutableLong,54,1
org.apache.commons.lang3.mutable.MutableLong,55,1
org.apache.commons.lang3.mutable.MutableLong,182,1
