class,line,hits
org.apache.commons.lang3.mutable.MutableLong,44,1
org.apache.commons.lang3.mutable.MutableLong,45,1
org.apache.commons.lang3.mutable.MutableLong,53,2
org.apache.commons.lang3.mutable.MutableLong,54,2
org.apache.commons.lang3.mutable.MutableLong,55,2
org.apache.commons.lang3.mutable.MutableLong,64,2
org.apache.commons.lang3.mutable.MutableLong,65,2
org.apache.commons.lang3.mutable.MutableLong,66,2
org.apache.commons.lang3.mutable.MutableLong,76,1
org.apache.commons.lang3.mutable.MutableLong,77,1
org.apache.commons.lang3.mutable.MutableLong,78,1
org.apache.commons.lang3.mutable.MutableLong,192,6
