class,line,hits
org.apache.commons.lang3.tuple.MutablePair,70,2
org.apache.commons.lang3.tuple.MutablePair,71,2
org.apache.commons.lang3.tuple.MutablePair,72,2
org.apache.commons.lang3.tuple.MutablePair,73,2
org.apache.commons.lang3.tuple.MutablePair,81,2
org.apache.commons.lang3.tuple.MutablePair,98,4
org.apache.commons.lang3.tuple.MutablePair,53,2
org.apache.commons.lang3.tuple.Pair,42,2
org.apache.commons.lang3.tuple.Pair,92,2
org.apache.commons.lang3.tuple.Pair,105,4
org.apache.commons.lang3.tuple.Pair,150,4
org.apache.commons.lang3.tuple.Pair,151,2
