class,line,hits
org.apache.commons.lang3.tuple.MutablePair,70,1
org.apache.commons.lang3.tuple.MutablePair,71,1
org.apache.commons.lang3.tuple.MutablePair,72,1
org.apache.commons.lang3.tuple.MutablePair,73,1
org.apache.commons.lang3.tuple.MutablePair,81,1
org.apache.commons.lang3.tuple.MutablePair,98,1
org.apache.commons.lang3.tuple.MutablePair,90,1
org.apache.commons.lang3.tuple.MutablePair,91,1
org.apache.commons.lang3.tuple.MutablePair,107,1
org.apache.commons.lang3.tuple.MutablePair,108,1
org.apache.commons.lang3.tuple.Pair,42,1
