class,line,hits
org.apache.commons.lang3.tuple.MutableTriple,75,1
org.apache.commons.lang3.tuple.MutableTriple,76,1
org.apache.commons.lang3.tuple.MutableTriple,77,1
org.apache.commons.lang3.tuple.MutableTriple,78,1
org.apache.commons.lang3.tuple.MutableTriple,79,1
org.apache.commons.lang3.tuple.MutableTriple,87,1
org.apache.commons.lang3.tuple.MutableTriple,104,1
org.apache.commons.lang3.tuple.MutableTriple,121,1
org.apache.commons.lang3.tuple.MutableTriple,96,1
org.apache.commons.lang3.tuple.MutableTriple,97,1
org.apache.commons.lang3.tuple.MutableTriple,113,1
org.apache.commons.lang3.tuple.MutableTriple,114,1
org.apache.commons.lang3.tuple.MutableTriple,130,1
org.apache.commons.lang3.tuple.MutableTriple,131,1
org.apache.commons.lang3.tuple.Triple,40,1
