class,line,hits
org.apache.commons.lang3.tuple.MutableTriple,75,7
org.apache.commons.lang3.tuple.MutableTriple,76,7
org.apache.commons.lang3.tuple.MutableTriple,77,7
org.apache.commons.lang3.tuple.MutableTriple,78,7
org.apache.commons.lang3.tuple.MutableTriple,79,7
org.apache.commons.lang3.tuple.MutableTriple,87,7
org.apache.commons.lang3.tuple.MutableTriple,104,7
org.apache.commons.lang3.tuple.MutableTriple,121,7
org.apache.commons.lang3.tuple.MutableTriple,57,7
org.apache.commons.lang3.tuple.Triple,40,7
org.apache.commons.lang3.tuple.Triple,140,14
org.apache.commons.lang3.tuple.Triple,141,7
