class,line,hits
org.apache.commons.lang3.text.translate.CharSequenceTranslator,32,3
org.apache.commons.lang3.text.translate.CharSequenceTranslator,54,3
org.apache.commons.lang3.text.translate.CharSequenceTranslator,58,3
org.apache.commons.lang3.text.translate.CharSequenceTranslator,59,3
org.apache.commons.lang3.text.translate.CharSequenceTranslator,60,2
org.apache.commons.lang3.text.translate.CharSequenceTranslator,76,3
org.apache.commons.lang3.text.translate.CharSequenceTranslator,79,3
org.apache.commons.lang3.text.translate.CharSequenceTranslator,82,3
org.apache.commons.lang3.text.translate.CharSequenceTranslator,83,3
org.apache.commons.lang3.text.translate.CharSequenceTranslator,84,45
org.apache.commons.lang3.text.translate.CharSequenceTranslator,85,40
org.apache.commons.lang3.text.translate.CharSequenceTranslator,86,39
org.apache.commons.lang3.text.translate.CharSequenceTranslator,87,38
org.apache.commons.lang3.text.translate.CharSequenceTranslator,88,38
org.apache.commons.lang3.text.translate.CharSequenceTranslator,89,38
org.apache.commons.lang3.text.translate.CharSequenceTranslator,90,38
org.apache.commons.lang3.text.translate.CharSequenceTranslator,94,6
org.apache.commons.lang3.text.translate.CharSequenceTranslator,95,5
org.apache.commons.lang3.text.translate.CharSequenceTranslator,98,2
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,56,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,57,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,58,2
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,59,2
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,60,1
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,62,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,71,5
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,79,40
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,81,40
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,82,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,83,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,85,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,86,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,87,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,88,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,91,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,96,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,98,12
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,99,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,100,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,102,6
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,105,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,107,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,108,3
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,109,1
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,111,2
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,112,1
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,118,1
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,119,1
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,120,1
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,127,1
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,132,1
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,135,1
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,137,37
org.apache.commons.lang3.text.translate.NumericEntityUnescaper$OPTION,35,4
org.apache.commons.lang3.text.translate.NumericEntityUnescaper$OPTION,1,1
