class,line,hits
org.apache.commons.lang3.SerializationUtils,201,1
org.apache.commons.lang3.SerializationUtils,204,1
org.apache.commons.lang3.SerializationUtils,207,1
org.apache.commons.lang3.SerializationUtils,209,1
org.apache.commons.lang3.SerializationUtils,210,2
org.apache.commons.lang3.SerializationUtils,220,1
org.apache.commons.lang3.SerializationUtils,221,1
org.apache.commons.lang3.SerializationUtils,223,1
org.apache.commons.lang3.SerializationUtils,250,1
org.apache.commons.lang3.SerializationUtils,253,1
