class,line,hits
org.apache.commons.lang3.builder.CompareToBuilder,103,4
org.apache.commons.lang3.builder.CompareToBuilder,104,4
org.apache.commons.lang3.builder.CompareToBuilder,105,4
org.apache.commons.lang3.builder.CompareToBuilder,370,12
org.apache.commons.lang3.builder.CompareToBuilder,399,12
org.apache.commons.lang3.builder.CompareToBuilder,402,12
org.apache.commons.lang3.builder.CompareToBuilder,403,10
org.apache.commons.lang3.builder.CompareToBuilder,405,2
org.apache.commons.lang3.builder.CompareToBuilder,409,2
org.apache.commons.lang3.builder.CompareToBuilder,413,2
org.apache.commons.lang3.builder.CompareToBuilder,440,2
org.apache.commons.lang3.builder.CompareToBuilder,442,2
org.apache.commons.lang3.builder.CompareToBuilder,443,2
org.apache.commons.lang3.builder.CompareToBuilder,444,2
org.apache.commons.lang3.builder.CompareToBuilder,450,2
org.apache.commons.lang3.builder.CompareToBuilder,1003,4
org.apache.commons.lang3.tuple.ImmutableTriple,73,2
org.apache.commons.lang3.tuple.ImmutableTriple,74,2
org.apache.commons.lang3.tuple.ImmutableTriple,75,2
org.apache.commons.lang3.tuple.ImmutableTriple,76,2
org.apache.commons.lang3.tuple.ImmutableTriple,77,2
org.apache.commons.lang3.tuple.ImmutableTriple,85,8
org.apache.commons.lang3.tuple.ImmutableTriple,93,8
org.apache.commons.lang3.tuple.ImmutableTriple,101,8
org.apache.commons.lang3.tuple.Triple,40,2
org.apache.commons.lang3.tuple.Triple,96,8
org.apache.commons.lang3.tuple.Triple,97,4
org.apache.commons.lang3.tuple.Triple,98,4
org.apache.commons.lang3.tuple.Triple,60,2
