class,line,hits
org.apache.commons.lang3.text.translate.CharSequenceTranslator,32,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,54,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,58,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,59,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,60,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,76,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,79,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,82,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,83,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,84,3
org.apache.commons.lang3.text.translate.CharSequenceTranslator,85,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,86,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,94,14
org.apache.commons.lang3.text.translate.CharSequenceTranslator,95,13
org.apache.commons.lang3.text.translate.CharSequenceTranslator,98,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,30,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,37,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,39,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,40,9
org.apache.commons.lang3.text.translate.UnicodeUnescaper,41,7
org.apache.commons.lang3.text.translate.UnicodeUnescaper,44,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,48,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,50,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,53,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,54,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,55,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,58,1
