class,line,hits
org.apache.commons.lang3.StringUtils,181,1
org.apache.commons.lang3.StringUtils,217,66
org.apache.commons.lang3.text.WordUtils,452,66
org.apache.commons.lang3.text.WordUtils,453,12
org.apache.commons.lang3.text.WordUtils,455,54
org.apache.commons.lang3.text.WordUtils,456,9
org.apache.commons.lang3.text.WordUtils,458,45
org.apache.commons.lang3.text.WordUtils,459,45
org.apache.commons.lang3.text.WordUtils,460,45
org.apache.commons.lang3.text.WordUtils,461,45
org.apache.commons.lang3.text.WordUtils,462,400
org.apache.commons.lang3.text.WordUtils,463,355
org.apache.commons.lang3.text.WordUtils,465,355
org.apache.commons.lang3.text.WordUtils,466,78
org.apache.commons.lang3.text.WordUtils,467,78
org.apache.commons.lang3.text.WordUtils,468,85
org.apache.commons.lang3.text.WordUtils,469,85
org.apache.commons.lang3.text.WordUtils,474,45
org.apache.commons.lang3.text.WordUtils,486,355
org.apache.commons.lang3.text.WordUtils,487,71
org.apache.commons.lang3.text.WordUtils,489,936
org.apache.commons.lang3.text.WordUtils,490,714
org.apache.commons.lang3.text.WordUtils,491,62
org.apache.commons.lang3.text.WordUtils,494,222
