class,line,hits
org.apache.commons.lang3.builder.CompareToBuilder,103,6
org.apache.commons.lang3.builder.CompareToBuilder,104,6
org.apache.commons.lang3.builder.CompareToBuilder,105,6
org.apache.commons.lang3.builder.CompareToBuilder,463,12
org.apache.commons.lang3.builder.CompareToBuilder,466,12
org.apache.commons.lang3.builder.CompareToBuilder,467,12
org.apache.commons.lang3.builder.CompareToBuilder,399,8
org.apache.commons.lang3.builder.CompareToBuilder,402,8
org.apache.commons.lang3.builder.CompareToBuilder,405,8
org.apache.commons.lang3.builder.CompareToBuilder,409,8
org.apache.commons.lang3.builder.CompareToBuilder,413,8
org.apache.commons.lang3.builder.CompareToBuilder,417,8
org.apache.commons.lang3.builder.CompareToBuilder,418,8
org.apache.commons.lang3.builder.CompareToBuilder,419,8
org.apache.commons.lang3.builder.CompareToBuilder,450,8
org.apache.commons.lang3.builder.CompareToBuilder,688,8
org.apache.commons.lang3.builder.CompareToBuilder,691,8
org.apache.commons.lang3.builder.CompareToBuilder,694,8
org.apache.commons.lang3.builder.CompareToBuilder,698,8
org.apache.commons.lang3.builder.CompareToBuilder,702,8
org.apache.commons.lang3.builder.CompareToBuilder,703,2
org.apache.commons.lang3.builder.CompareToBuilder,704,2
org.apache.commons.lang3.builder.CompareToBuilder,706,18
org.apache.commons.lang3.builder.CompareToBuilder,707,12
org.apache.commons.lang3.builder.CompareToBuilder,709,6
org.apache.commons.lang3.builder.CompareToBuilder,621,6
org.apache.commons.lang3.builder.CompareToBuilder,648,6
org.apache.commons.lang3.builder.CompareToBuilder,651,6
org.apache.commons.lang3.builder.CompareToBuilder,652,1
org.apache.commons.lang3.builder.CompareToBuilder,654,5
org.apache.commons.lang3.builder.CompareToBuilder,658,5
org.apache.commons.lang3.builder.CompareToBuilder,662,5
org.apache.commons.lang3.builder.CompareToBuilder,666,13
org.apache.commons.lang3.builder.CompareToBuilder,667,8
org.apache.commons.lang3.builder.CompareToBuilder,669,5
org.apache.commons.lang3.builder.CompareToBuilder,1003,6
