class,line,hits
org.apache.commons.lang3.builder.CompareToBuilder,103,6
org.apache.commons.lang3.builder.CompareToBuilder,104,6
org.apache.commons.lang3.builder.CompareToBuilder,105,6
org.apache.commons.lang3.builder.CompareToBuilder,527,12
org.apache.commons.lang3.builder.CompareToBuilder,530,12
org.apache.commons.lang3.builder.CompareToBuilder,531,12
org.apache.commons.lang3.builder.CompareToBuilder,399,8
org.apache.commons.lang3.builder.CompareToBuilder,402,8
org.apache.commons.lang3.builder.CompareToBuilder,405,8
org.apache.commons.lang3.builder.CompareToBuilder,409,8
org.apache.commons.lang3.builder.CompareToBuilder,413,8
org.apache.commons.lang3.builder.CompareToBuilder,417,8
org.apache.commons.lang3.builder.CompareToBuilder,426,8
org.apache.commons.lang3.builder.CompareToBuilder,427,8
org.apache.commons.lang3.builder.CompareToBuilder,450,8
org.apache.commons.lang3.builder.CompareToBuilder,848,8
org.apache.commons.lang3.builder.CompareToBuilder,851,8
org.apache.commons.lang3.builder.CompareToBuilder,854,8
org.apache.commons.lang3.builder.CompareToBuilder,858,8
org.apache.commons.lang3.builder.CompareToBuilder,862,8
org.apache.commons.lang3.builder.CompareToBuilder,863,2
org.apache.commons.lang3.builder.CompareToBuilder,864,2
org.apache.commons.lang3.builder.CompareToBuilder,866,18
org.apache.commons.lang3.builder.CompareToBuilder,867,12
org.apache.commons.lang3.builder.CompareToBuilder,869,6
org.apache.commons.lang3.builder.CompareToBuilder,621,6
org.apache.commons.lang3.builder.CompareToBuilder,648,6
org.apache.commons.lang3.builder.CompareToBuilder,651,6
org.apache.commons.lang3.builder.CompareToBuilder,652,1
org.apache.commons.lang3.builder.CompareToBuilder,654,5
org.apache.commons.lang3.builder.CompareToBuilder,658,5
org.apache.commons.lang3.builder.CompareToBuilder,662,5
org.apache.commons.lang3.builder.CompareToBuilder,666,13
org.apache.commons.lang3.builder.CompareToBuilder,667,8
org.apache.commons.lang3.builder.CompareToBuilder,669,5
org.apache.commons.lang3.builder.CompareToBuilder,1003,6
