class,line,hits
org.apache.commons.lang3.builder.EqualsBuilder,92,1
org.apache.commons.lang3.builder.EqualsBuilder,214,5
org.apache.commons.lang3.builder.EqualsBuilder,222,5
org.apache.commons.lang3.builder.EqualsBuilder,224,5
org.apache.commons.lang3.builder.EqualsBuilder,584,5
org.apache.commons.lang3.builder.EqualsBuilder,587,5
org.apache.commons.lang3.builder.EqualsBuilder,503,5
org.apache.commons.lang3.builder.EqualsBuilder,506,5
org.apache.commons.lang3.builder.EqualsBuilder,507,5
org.apache.commons.lang3.builder.EqualsBuilder,911,5
