class,line,hits
org.apache.commons.lang3.builder.EqualsBuilder,92,1
org.apache.commons.lang3.builder.EqualsBuilder,214,5
org.apache.commons.lang3.builder.EqualsBuilder,222,5
org.apache.commons.lang3.builder.EqualsBuilder,224,5
org.apache.commons.lang3.builder.EqualsBuilder,584,4
org.apache.commons.lang3.builder.EqualsBuilder,587,4
org.apache.commons.lang3.builder.EqualsBuilder,503,4
org.apache.commons.lang3.builder.EqualsBuilder,506,4
org.apache.commons.lang3.builder.EqualsBuilder,507,4
org.apache.commons.lang3.builder.EqualsBuilder,822,5
org.apache.commons.lang3.builder.EqualsBuilder,825,5
org.apache.commons.lang3.builder.EqualsBuilder,826,2
org.apache.commons.lang3.builder.EqualsBuilder,828,3
org.apache.commons.lang3.builder.EqualsBuilder,829,1
org.apache.commons.lang3.builder.EqualsBuilder,830,1
org.apache.commons.lang3.builder.EqualsBuilder,832,2
org.apache.commons.lang3.builder.EqualsBuilder,836,6
org.apache.commons.lang3.builder.EqualsBuilder,837,4
org.apache.commons.lang3.builder.EqualsBuilder,839,2
org.apache.commons.lang3.builder.EqualsBuilder,911,5
org.apache.commons.lang3.builder.EqualsBuilder,935,1
org.apache.commons.lang3.builder.EqualsBuilder,936,1
