class,line,hits
org.apache.commons.lang3.builder.EqualsBuilder,92,1
org.apache.commons.lang3.builder.EqualsBuilder,214,5
org.apache.commons.lang3.builder.EqualsBuilder,222,5
org.apache.commons.lang3.builder.EqualsBuilder,224,5
org.apache.commons.lang3.builder.EqualsBuilder,604,4
org.apache.commons.lang3.builder.EqualsBuilder,607,4
org.apache.commons.lang3.builder.EqualsBuilder,518,4
org.apache.commons.lang3.builder.EqualsBuilder,521,4
org.apache.commons.lang3.builder.EqualsBuilder,522,4
org.apache.commons.lang3.builder.EqualsBuilder,853,5
org.apache.commons.lang3.builder.EqualsBuilder,856,5
org.apache.commons.lang3.builder.EqualsBuilder,857,2
org.apache.commons.lang3.builder.EqualsBuilder,859,3
org.apache.commons.lang3.builder.EqualsBuilder,860,1
org.apache.commons.lang3.builder.EqualsBuilder,861,1
org.apache.commons.lang3.builder.EqualsBuilder,863,2
org.apache.commons.lang3.builder.EqualsBuilder,867,6
org.apache.commons.lang3.builder.EqualsBuilder,868,4
org.apache.commons.lang3.builder.EqualsBuilder,870,2
org.apache.commons.lang3.builder.EqualsBuilder,911,5
org.apache.commons.lang3.builder.EqualsBuilder,935,1
org.apache.commons.lang3.builder.EqualsBuilder,936,1
