class,line,hits
org.apache.commons.lang3.builder.EqualsBuilder,92,1
org.apache.commons.lang3.builder.EqualsBuilder,214,5
org.apache.commons.lang3.builder.EqualsBuilder,222,5
org.apache.commons.lang3.builder.EqualsBuilder,224,5
org.apache.commons.lang3.builder.EqualsBuilder,503,4
org.apache.commons.lang3.builder.EqualsBuilder,506,4
org.apache.commons.lang3.builder.EqualsBuilder,507,4
org.apache.commons.lang3.builder.EqualsBuilder,667,5
org.apache.commons.lang3.builder.EqualsBuilder,670,5
org.apache.commons.lang3.builder.EqualsBuilder,671,2
org.apache.commons.lang3.builder.EqualsBuilder,673,3
org.apache.commons.lang3.builder.EqualsBuilder,674,1
org.apache.commons.lang3.builder.EqualsBuilder,675,1
org.apache.commons.lang3.builder.EqualsBuilder,677,2
org.apache.commons.lang3.builder.EqualsBuilder,681,6
org.apache.commons.lang3.builder.EqualsBuilder,682,4
org.apache.commons.lang3.builder.EqualsBuilder,684,2
org.apache.commons.lang3.builder.EqualsBuilder,911,5
org.apache.commons.lang3.builder.EqualsBuilder,935,1
org.apache.commons.lang3.builder.EqualsBuilder,936,1
