class,line,hits
org.apache.commons.lang3.builder.EqualsBuilder,92,1
org.apache.commons.lang3.builder.EqualsBuilder,214,3
org.apache.commons.lang3.builder.EqualsBuilder,222,3
org.apache.commons.lang3.builder.EqualsBuilder,224,3
org.apache.commons.lang3.builder.EqualsBuilder,548,8
org.apache.commons.lang3.builder.EqualsBuilder,551,8
org.apache.commons.lang3.builder.EqualsBuilder,552,8
org.apache.commons.lang3.builder.EqualsBuilder,448,4
org.apache.commons.lang3.builder.EqualsBuilder,451,4
org.apache.commons.lang3.builder.EqualsBuilder,454,4
org.apache.commons.lang3.builder.EqualsBuilder,458,4
org.apache.commons.lang3.builder.EqualsBuilder,459,4
org.apache.commons.lang3.builder.EqualsBuilder,468,4
org.apache.commons.lang3.builder.EqualsBuilder,475,4
org.apache.commons.lang3.builder.EqualsBuilder,476,4
org.apache.commons.lang3.builder.EqualsBuilder,488,4
org.apache.commons.lang3.builder.EqualsBuilder,760,4
org.apache.commons.lang3.builder.EqualsBuilder,763,4
org.apache.commons.lang3.builder.EqualsBuilder,766,4
org.apache.commons.lang3.builder.EqualsBuilder,770,4
org.apache.commons.lang3.builder.EqualsBuilder,774,12
org.apache.commons.lang3.builder.EqualsBuilder,775,8
org.apache.commons.lang3.builder.EqualsBuilder,777,4
org.apache.commons.lang3.builder.EqualsBuilder,636,3
org.apache.commons.lang3.builder.EqualsBuilder,639,3
org.apache.commons.lang3.builder.EqualsBuilder,640,1
org.apache.commons.lang3.builder.EqualsBuilder,642,2
org.apache.commons.lang3.builder.EqualsBuilder,646,2
org.apache.commons.lang3.builder.EqualsBuilder,650,6
org.apache.commons.lang3.builder.EqualsBuilder,651,4
org.apache.commons.lang3.builder.EqualsBuilder,653,2
org.apache.commons.lang3.builder.EqualsBuilder,911,3
