class,line,hits
org.apache.commons.lang3.builder.EqualsBuilder,92,1
org.apache.commons.lang3.builder.EqualsBuilder,214,3
org.apache.commons.lang3.builder.EqualsBuilder,222,3
org.apache.commons.lang3.builder.EqualsBuilder,224,3
org.apache.commons.lang3.builder.EqualsBuilder,604,8
org.apache.commons.lang3.builder.EqualsBuilder,607,8
org.apache.commons.lang3.builder.EqualsBuilder,518,8
org.apache.commons.lang3.builder.EqualsBuilder,521,8
org.apache.commons.lang3.builder.EqualsBuilder,522,8
org.apache.commons.lang3.builder.EqualsBuilder,448,4
org.apache.commons.lang3.builder.EqualsBuilder,451,4
org.apache.commons.lang3.builder.EqualsBuilder,454,4
org.apache.commons.lang3.builder.EqualsBuilder,458,4
org.apache.commons.lang3.builder.EqualsBuilder,459,4
org.apache.commons.lang3.builder.EqualsBuilder,468,4
org.apache.commons.lang3.builder.EqualsBuilder,481,4
org.apache.commons.lang3.builder.EqualsBuilder,482,4
org.apache.commons.lang3.builder.EqualsBuilder,488,4
org.apache.commons.lang3.builder.EqualsBuilder,853,4
org.apache.commons.lang3.builder.EqualsBuilder,856,4
org.apache.commons.lang3.builder.EqualsBuilder,859,4
org.apache.commons.lang3.builder.EqualsBuilder,863,4
org.apache.commons.lang3.builder.EqualsBuilder,867,12
org.apache.commons.lang3.builder.EqualsBuilder,868,8
org.apache.commons.lang3.builder.EqualsBuilder,870,4
org.apache.commons.lang3.builder.EqualsBuilder,636,3
org.apache.commons.lang3.builder.EqualsBuilder,639,3
org.apache.commons.lang3.builder.EqualsBuilder,640,1
org.apache.commons.lang3.builder.EqualsBuilder,642,2
org.apache.commons.lang3.builder.EqualsBuilder,646,2
org.apache.commons.lang3.builder.EqualsBuilder,650,6
org.apache.commons.lang3.builder.EqualsBuilder,651,4
org.apache.commons.lang3.builder.EqualsBuilder,653,2
org.apache.commons.lang3.builder.EqualsBuilder,911,3
