class,line,hits
org.apache.commons.lang3.mutable.MutableShort,44,2
org.apache.commons.lang3.mutable.MutableShort,45,2
org.apache.commons.lang3.mutable.MutableShort,53,2
org.apache.commons.lang3.mutable.MutableShort,54,2
org.apache.commons.lang3.mutable.MutableShort,55,2
org.apache.commons.lang3.mutable.MutableShort,88,4
org.apache.commons.lang3.mutable.MutableShort,108,3
org.apache.commons.lang3.mutable.MutableShort,109,2
org.apache.commons.lang3.mutable.MutableShort,97,1
org.apache.commons.lang3.mutable.MutableShort,98,1
org.apache.commons.lang3.mutable.MutableShort,182,5
