class,line,hits
org.apache.commons.lang3.text.translate.CharSequenceTranslator,32,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,54,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,58,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,59,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,76,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,79,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,82,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,83,1
org.apache.commons.lang3.text.translate.CharSequenceTranslator,84,7
org.apache.commons.lang3.text.translate.CharSequenceTranslator,85,6
org.apache.commons.lang3.text.translate.CharSequenceTranslator,86,5
org.apache.commons.lang3.text.translate.CharSequenceTranslator,87,5
org.apache.commons.lang3.text.translate.CharSequenceTranslator,88,5
org.apache.commons.lang3.text.translate.CharSequenceTranslator,89,5
org.apache.commons.lang3.text.translate.CharSequenceTranslator,90,5
org.apache.commons.lang3.text.translate.UnicodeUnescaper,30,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,37,6
org.apache.commons.lang3.text.translate.UnicodeUnescaper,39,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,40,2
org.apache.commons.lang3.text.translate.UnicodeUnescaper,44,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,48,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,60,2
org.apache.commons.lang3.text.translate.UnicodeUnescaper,61,1
org.apache.commons.lang3.text.translate.UnicodeUnescaper,64,5
