,sbfl_score
org.apache.commons.lang3.math.NumberUtils:33,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:35,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:37,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:39,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:41,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:43,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:45,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:47,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:49,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:51,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:53,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:55,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:57,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:59,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:61,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:63,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:65,0.011363636363636364
org.apache.commons.lang3.math.NumberUtils:67,0.011363636363636364
org.apache.commons.lang3.StringUtils:180,0.002421307506053269
org.apache.commons.lang3.StringUtils:256,0.03225806451612903
org.apache.commons.lang3.StringUtils:259,0.034482758620689655
org.apache.commons.lang3.StringUtils:260,0.034482758620689655
org.apache.commons.lang3.StringUtils:261,0.04
org.apache.commons.lang3.math.NumberUtils:450,0.1
org.apache.commons.lang3.math.NumberUtils:453,0.1
org.apache.commons.lang3.math.NumberUtils:457,0.1
org.apache.commons.lang3.math.NumberUtils:458,0.1
org.apache.commons.lang3.math.NumberUtils:459,0.1
org.apache.commons.lang3.math.NumberUtils:460,0.1
org.apache.commons.lang3.math.NumberUtils:461,0.25
org.apache.commons.lang3.math.NumberUtils:462,0.25
org.apache.commons.lang3.math.NumberUtils:465,0.1
org.apache.commons.lang3.math.NumberUtils:466,0.25
org.apache.commons.lang3.math.NumberUtils:467,0.25
org.apache.commons.lang3.math.NumberUtils:468,0.25
org.apache.commons.lang3.math.NumberUtils:469,0.25
org.apache.commons.lang3.math.NumberUtils:470,0.5
org.apache.commons.lang3.math.NumberUtils:475,0.25
org.apache.commons.lang3.math.NumberUtils:476,0.25
org.apache.commons.lang3.math.NumberUtils:477,0.5
org.apache.commons.lang3.math.NumberUtils:479,0.25
org.apache.commons.lang3.math.NumberUtils:480,0.5
org.apache.commons.lang3.math.NumberUtils:482,0.25
org.apache.commons.lang3.math.NumberUtils:688,0.2
org.apache.commons.lang3.math.NumberUtils:692,0.2
org.apache.commons.lang3.math.NumberUtils:706,0.16666666666666666
org.apache.commons.lang3.math.NumberUtils:709,0.16666666666666666
org.apache.commons.lang3.math.NumberUtils:723,0.2
org.apache.commons.lang3.math.NumberUtils:726,0.2
org.apache.commons.lang3.math.NumberUtils:727,0.2
org.apache.commons.lang3.math.NumberUtils:728,0.2
org.apache.commons.lang3.math.NumberUtils:729,0.2
org.apache.commons.lang3.math.NumberUtils:733,0.2
org.apache.commons.lang3.math.NumberUtils:734,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:735,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:736,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:744,0.2
org.apache.commons.lang3.math.NumberUtils:745,0.25
