,sbfl_score
org.apache.commons.lang3.math.NumberUtils:502,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:613,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:614,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:581,0.25
org.apache.commons.lang3.math.NumberUtils:603,0.25
org.apache.commons.lang3.math.NumberUtils:604,0.25
org.apache.commons.lang3.math.NumberUtils:621,0.25
org.apache.commons.lang3.math.NumberUtils:500,0.2
org.apache.commons.lang3.math.NumberUtils:501,0.2
org.apache.commons.lang3.math.NumberUtils:504,0.2
