class:method:signature:line,sbfl_score
org.apache.commons.lang.StringEscapeUtils:escapeJavaScript:(Ljava/io/Writer;Ljava/lang/String;)V:138,1.0
org.apache.commons.lang.StringEscapeUtils:escapeJavaScript:(Ljava/lang/String;)Ljava/lang/String;:122,1.0
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:224,1.0
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/lang/String;Z)Ljava/lang/String;:150,0.5
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:173,0.5
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:231,0.5
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:230,0.5
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:229,0.5
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:227,0.3333333333333333
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:226,0.3333333333333333
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:223,0.3333333333333333
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:190,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:221,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:188,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:186,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:184,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:181,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:180,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:179,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:175,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:237,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:242,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/lang/String;Z)Ljava/lang/String;:149,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/io/Writer;Ljava/lang/String;Z)V:172,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/lang/String;Z)Ljava/lang/String;:153,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/lang/String;Z)Ljava/lang/String;:154,0.25
org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:(Ljava/lang/String;Z)Ljava/lang/String;:155,0.25
